experiment,run_id,method,status,fit_error,transforms_applied,ident_accuracy,ident_ci_lo,ident_ci_hi,perm_p,null_max,alignment_gain,nonidentifiable_pairs,per_pair_uncertainty,notes
00_noalign,00_noalign__eebd2f8e__20260920T074351Z,noalign,ok,,True,0.9591836735,0.8979591837,1,0.004975124378,0.08163265306,0,500,,per_pair_uncertainty unfilled
01_brainsync,01_brainsync__b4f31914__20260920T074433Z,brainsync,ok,,True,0.9591836735,0.8979591837,1,0.004975124378,0.08163265306,-4.653755573e-05,469,,per_pair_uncertainty unfilled
02_fugw,02_fugw__cf2f95f4__20260920T074534Z,fugw,ok,,True,0.9183673469,0.8367346939,0.9795918367,0.004975124378,0.1020408163,-0.004947090344,466,,per_pair_uncertainty unfilled
03_conn_srm,03_conn_srm__0777ce05__20260920T074652Z,conn_srm,ok,,True,0.08163265306,0.02040816327,0.1632653061,0.01990049751,0.08163265306,0.3954539023,467,,per_pair_uncertainty unfilled
10_ours_full,10_ours_full__0a86690b__20260920T074358Z,ours_full,ok,,True,0.875,0.75,1,0.004975124378,0.1666666667,0.02047139893,473,0.01716750311,
10_ours_full,10_ours_full__dd67ab1e__20260920T074747Z,ours_full,ok,,True,0.8571428571,0.7551020408,0.9387755102,0.004975124378,0.1020408163,0.0180540671,472,0.0754818852,
11_ours_ablated,11_ours_ablated__56a17400__20260920T071555Z,ours_ablated,ok,,True,0.8484848485,0.7272727273,0.9696969697,0.004975124378,0.1515151515,0.01022573184,472,0.1032438509,
