method,cohort,n_subjects,ident_accuracy,ident_ci,alignment_gain,nonidentifiable_pairs,perm_p,null_max,per_pair_uncertainty,status,transforms_applied,fit_error,feat_corr,track_ab_score,track_ab_verdict,model_K,gauge_features,epochs_cfg,ours_artifacts,data_root,data_hash,run_id,permutations_B,beta,notes
ours_full,frozen_n49,49,0.8571428571428571,"[0.7551020408163265, 0.9387755102040817]",0.018054067101284182,472,0.004975124378109453,0.10204081632653061,0.0754818852015649,ok,True,,0.6575516791459556,0.018054067101284182,wins_TrackA+B_combined,100,,20,/tmp/surge-coord/trajot/runs/10_ours_full__0963e0b9__20260920T061730Z,/tmp/surge-coord/frozen_ds000243,ccce8212b9784ac62971dfa033c4509e2dcdc91e8ccd4091fe992c10af57d981,10_ours_full__dd67ab1e__20260920T074747Z,200,29.189086229914952,
noalign,frozen_n49,49,0.9591836734693877,"[0.8979591836734694, 1.0]",0.0,500,0.004975124378109453,0.08163265306122448,,ok,True,,0.9999999999999998,0.0,high_ident_zero_or_neg_gain,100,,100,,/tmp/surge-coord/frozen_ds000243,ccce8212b9784ac62971dfa033c4509e2dcdc91e8ccd4091fe992c10af57d981,00_noalign__eebd2f8e__20260920T074351Z,200,29.189086229914952,per_pair_uncertainty unfilled
brainsync,frozen_n49,49,0.9591836734693877,"[0.8979591836734694, 1.0]",-4.6537555730175154e-05,469,0.004975124378109453,0.08163265306122448,,ok,True,,0.9984110099091182,-4.6537555730175154e-05,high_ident_zero_or_neg_gain,100,,100,,/tmp/surge-coord/frozen_ds000243,ccce8212b9784ac62971dfa033c4509e2dcdc91e8ccd4091fe992c10af57d981,01_brainsync__b4f31914__20260920T074433Z,200,29.189086229914952,per_pair_uncertainty unfilled
fugw,frozen_n49,49,0.9183673469387755,"[0.8367346938775511, 0.9795918367346939]",-0.004947090344352626,466,0.004975124378109453,0.10204081632653061,,ok,True,,0.9660116938569245,-0.004947090344352626,high_ident_zero_or_neg_gain,100,,100,,/tmp/surge-coord/frozen_ds000243,ccce8212b9784ac62971dfa033c4509e2dcdc91e8ccd4091fe992c10af57d981,02_fugw__cf2f95f4__20260920T074534Z,200,29.189086229914952,per_pair_uncertainty unfilled
conn_srm,frozen_n49,49,0.08163265306122448,"[0.02040816326530612, 0.16326530612244897]",0.3954539023443999,467,0.01990049751243781,0.08163265306122448,,ok,True,,0.5856457281525269,-4.6045460976556,fails_TrackA_ident_collapse,100,,100,,/tmp/surge-coord/frozen_ds000243,ccce8212b9784ac62971dfa033c4509e2dcdc91e8ccd4091fe992c10af57d981,03_conn_srm__0777ce05__20260920T074652Z,200,29.189086229914952,per_pair_uncertainty unfilled
ours_ablated,live_n33_secondary,33,0.8484848484848485,"[0.7272727272727273, 0.9696969696969697]",0.010225731844714987,472,0.004975124378109453,0.15151515151515152,0.10324385090682761,ok,True,,0.666644225532016,0.010225731844714987,wins_TrackA+B_combined,16,False,6,,/Users/anandlo/Surge2026F/ds000243-master,ecc06a9327a626b7c72102a6eca48d8948989085c6334135a058e367aad11e48,11_ours_ablated__56a17400__20260920T071555Z,200,29.189086229914952,
